#  it.    Lx     Ly     Lz        N      place  th. proc.     t_plan   t_prep   t_dmmy   t_calc  GFLOPS
    20   1600   1600   1600      4096000000 T    1 1600       42.204    0.012    2.869   11.639  1123.737
    40   1600   1600   1600      4096000000 T    1 1600       46.037    0.011    2.822   22.174  1179.685
   100   1600   1600   1600      4096000000 T    1 1600       49.081    0.012    2.990   55.261  1183.400
   200   1600   1600   1600      4096000000 T    1 1600       54.231    0.012    2.767  112.874  1158.741
    20   1600   1600   1600      4096000000 F    1 1600       40.450    0.012    2.775   11.874  1101.497
    40   1600   1600   1600      4096000000 F    1 1600       37.490    0.011    2.879   23.107  1132.053
   100   1600   1600   1600      4096000000 F    1 1600       37.793    0.011    2.962   56.707  1153.224
   200   1600   1600   1600      4096000000 F    1 1600       48.028    0.011    2.970  115.127  1136.065
    20   3200   3200   3200     32768000000 T    1 1600       27.544    0.096   57.439  100.082  1143.700
    40   3200   3200   3200     32768000000 T    1 1600       27.473    0.096   76.849  197.456  1159.385
   100   3200   3200   3200     32768000000 T    1 1600       27.604    0.095   75.791  499.312  1146.215
   200   3200   3200   3200     32768000000 T    1 1600       27.591    0.096   76.589 1000.521  1144.042
    20   3200   3200   3200     32768000000 F    1 1600       21.979    0.094   82.599  108.626  1053.742
    40   3200   3200   3200     32768000000 F    1 1600       21.999    0.093   85.172  217.522  1052.434
   100   3200   3200   3200     32768000000 F    1 1600       21.975    0.095   73.727  541.140  1057.617
   200   3200   3200   3200     32768000000 F    1 1600       22.026    0.095   55.264 1081.189  1058.684
    10   4800   4800   4800    110592000000 T    1 1600       30.575    0.322  106.238  194.897  1040.865
    20   4800   4800   4800    110592000000 T    1 1600       30.515    0.321  107.181  388.481  1044.383
